message_id,site_id,source_file,source_line_start,source_line_end,message_kind,anchor_date,anchor_date_kind,eta_time,scheduled_start_text,scheduled_end_text,text_sha256
SITE_A-001,SITE_A,site_a_sms_redacted.txt,1,3,emergency,2026-08-06,restoration_eta_date,17:40,,,b7737a0638dcb9941352b487f4e9583006453b63b21f33365d4648189779f98c
SITE_A-002,SITE_A,site_a_sms_redacted.txt,4,6,emergency,2026-08-05,restoration_eta_date,12:54,,,8f005e1f96f9641ad7d2a4a30e5699ab0d3978e984ec80991ee4d8d50876d2ae
SITE_A-003,SITE_A,site_a_sms_redacted.txt,7,9,emergency,2026-07-14,restoration_eta_date,15:19,,,7ac07c89b70e04e78af8e3e82a4042ce1d6fa56682c6a05c37e56b87915433d2
SITE_A-004,SITE_A,site_a_sms_redacted.txt,10,12,emergency,2026-05-13,restoration_eta_date,13:39,,,e5fccd4543b1a33a88efa0ae5bc187e1dcf208b16a906ea5fc0f2fdcea764313
SITE_A-005,SITE_A,site_a_sms_redacted.txt,13,15,emergency,2026-04-07,restoration_eta_date,22:29,,,01f1e2ded4a0904f9f446fc99176a4d572cccfcebb0cd6f1a18a6eecaacea462
SITE_A-006,SITE_A,site_a_sms_redacted.txt,16,18,emergency,2026-04-07,restoration_eta_date,22:29,,,01f1e2ded4a0904f9f446fc99176a4d572cccfcebb0cd6f1a18a6eecaacea462
SITE_A-007,SITE_A,site_a_sms_redacted.txt,19,21,emergency,2026-04-07,restoration_eta_date,19:33,,,e9200e965bb2c26b166f7b71c26d1a1599d8a472ee19b1a1816ba9f995a12b94
SITE_A-008,SITE_A,site_a_sms_redacted.txt,22,24,emergency,2026-03-14,restoration_eta_date,00:22,,,15fadd1e2caf4991dd7d352894285d19c22ab71dc554995024ef374c79716b7a
SITE_A-009,SITE_A,site_a_sms_redacted.txt,25,27,planned_notice,2026-03-12,scheduled_interruption_date,,11:00,18:00,af410fe9861a900ff8a6e86f3aec5c164c92bdfe07819f6f7a82e15d754c89dd
SITE_A-010,SITE_A,site_a_sms_redacted.txt,28,30,emergency,2026-01-22,restoration_eta_date,20:00,,,63ec5560c95e9ddc22125e885486888ee6c3e52467f8e61e7d23bd04eb22c693
SITE_A-011,SITE_A,site_a_sms_redacted.txt,31,33,emergency,2026-01-22,restoration_eta_date,12:00,,,ea1605952b174e965d2c0ac6e6d2081d4160172941a198bde1543b3f30a334a4
SITE_A-012,SITE_A,site_a_sms_redacted.txt,34,36,emergency,2026-01-13,restoration_eta_date,16:50,,,ce26aded77c7221c25f7c72e028e338465dc8fa1bd94cbaca42182ddc5624566
SITE_A-013,SITE_A,site_a_sms_redacted.txt,37,39,emergency,2026-01-12,restoration_eta_date,18:43,,,4004ede96b415f74185915bfeff8aad0ddf8a558a47bd608ef2e133316b0cf37
SITE_A-014,SITE_A,site_a_sms_redacted.txt,40,42,emergency,2025-12-06,restoration_eta_date,17:11,,,c5588de3cea9ad4c9eee50d7200b4d583a2819d888479ea936b016d9a53c3ef0
SITE_A-015,SITE_A,site_a_sms_redacted.txt,43,45,planned_notice,2025-12-01,scheduled_interruption_date,,11:00,16:00,585bd7a2a4822f27fe68e0a5dea5beb965bfe3708b96407973e96b6f9763c0ac
SITE_A-016,SITE_A,site_a_sms_redacted.txt,46,48,planned_notice,2025-11-28,scheduled_interruption_date,,11:00,18:00,2a111382616fb29fabebde77a8d64f4e75a3e85ed3a078655a7d3784b2d5f35c
SITE_A-017,SITE_A,site_a_sms_redacted.txt,49,51,planned_notice,2025-11-12,scheduled_interruption_date,,11:00,18:00,8e7dfff094197025b687b81f094033b5c6fe93535942e01d015b838904612f4f
SITE_A-018,SITE_A,site_a_sms_redacted.txt,52,54,emergency,2025-11-05,restoration_eta_date,14:22,,,2bd9c2a528314a48d8fc44524b8908b7bbcacf2b20c84a184b546c3d9b1a48cf
SITE_A-019,SITE_A,site_a_sms_redacted.txt,55,57,planned_update,,,,,,dbdfd03da18653413bd952d611b0decf3d14612a54fc6bb90baf7cbbbb78efdb
SITE_A-020,SITE_A,site_a_sms_redacted.txt,58,60,planned_notice,2025-11-02,scheduled_interruption_date,,11:00,14:00,eca395e3086ea25efca06f4c9365d2ff70e4d3a1d3cb8bdef0cb18b995581c20
SITE_A-021,SITE_A,site_a_sms_redacted.txt,61,63,planned_notice,2025-10-15,scheduled_interruption_date,,11:00,17:00,48db25b8241629355fcbb721ce16529f2d4408d8a16e50d0132026d5789ac19f
